market_date,market_start_time,market_end_time,market_start_datetime,market_end_datetime
2019-03-02,"8:00 AM","2:00 PM","2019-03-02 08:00:00","2019-03-02 14:00:00"
2019-03-09,"9:00 AM","2:00 PM","2019-03-09 09:00:00","2019-03-09 14:00:00"
2019-03-13,"4:00 PM","7:00 PM","2019-03-13 16:00:00","2019-03-13 19:00:00"
2019-03-16,"8:00 AM","2:00 PM","2019-03-16 08:00:00","2019-03-16 14:00:00"
2019-03-20,"4:00 PM","7:00 PM","2019-03-20 16:00:00","2019-03-20 19:00:00"
2019-03-23,"8:00 AM","2:00 PM","2019-03-23 08:00:00","2019-03-23 14:00:00"
2019-03-27,"4:00 PM","7:00 PM","2019-03-27 16:00:00","2019-03-27 19:00:00"
2019-03-30,"8:00 AM","2:00 PM","2019-03-30 08:00:00","2019-03-30 14:00:00"
2019-04-03,"4:00 PM","7:00 PM","2019-04-03 16:00:00","2019-04-03 19:00:00"
2019-04-06,"8:00 AM","2:00 PM","2019-04-06 08:00:00","2019-04-06 14:00:00"
2019-04-10,"4:00 PM","7:00 PM","2019-04-10 16:00:00","2019-04-10 19:00:00"
2019-04-13,"8:00 AM","2:00 PM","2019-04-13 08:00:00","2019-04-13 14:00:00"
2019-04-17,"4:00 PM","7:00 PM","2019-04-17 16:00:00","2019-04-17 19:00:00"
2019-04-20,"8:00 AM","2:00 PM","2019-04-20 08:00:00","2019-04-20 14:00:00"
2019-04-24,"4:00 PM","7:00 PM","2019-04-24 16:00:00","2019-04-24 19:00:00"
2019-04-27,"8:00 AM","2:00 PM","2019-04-27 08:00:00","2019-04-27 14:00:00"
2019-05-01,"4:00 PM","7:00 PM","2019-05-01 16:00:00","2019-05-01 19:00:00"
2019-05-04,"8:00 AM","2:00 PM","2019-05-04 08:00:00","2019-05-04 14:00:00"
2019-05-08,"4:00 PM","7:00 PM","2019-05-08 16:00:00","2019-05-08 19:00:00"
2019-05-11,"8:00 AM","2:00 PM","2019-05-11 08:00:00","2019-05-11 14:00:00"
2019-05-15,"4:00 PM","7:00 PM","2019-05-15 16:00:00","2019-05-15 19:00:00"
2019-05-18,"8:00 AM","2:00 PM","2019-05-18 08:00:00","2019-05-18 14:00:00"
2019-05-22,"4:00 PM","7:00 PM","2019-05-22 16:00:00","2019-05-22 19:00:00"
