,TimeStamp,Drug_Name,Pressure,Temperature
0,2020-10-15 10:30:00,diltiazem hydrochloride,18.0,20.0
1,2020-10-15 11:30:00,diltiazem hydrochloride,19.0,20.0
2,2020-10-15 12:30:00,diltiazem hydrochloride,20.0,21.0
3,2020-10-15 01:30:00,diltiazem hydrochloride,12.0,23.0
4,2020-10-15 02:30:00,diltiazem hydrochloride,13.0,22.0
5,2020-10-15 03:30:00,diltiazem hydrochloride,16.0,21.454545454545453
6,2020-10-15 04:30:00,diltiazem hydrochloride,11.0,21.0
7,2020-10-15 05:30:00,diltiazem hydrochloride,13.0,21.0
8,2020-10-15 06:30:00,diltiazem hydrochloride,14.0,22.0
9,2020-10-15 07:30:00,diltiazem hydrochloride,16.0,23.0
10,2020-10-15 08:30:00,diltiazem hydrochloride,16.0,21.0
11,2020-10-15 09:30:00,diltiazem hydrochloride,24.0,22.0
12,2020-10-15 10:30:00,docetaxel injection,26.0,23.0
13,2020-10-15 11:30:00,docetaxel injection,29.0,25.0
14,2020-10-15 12:30:00,docetaxel injection,28.0,25.0
15,2020-10-15 01:30:00,docetaxel injection,24.875,20.75
16,2020-10-15 02:30:00,docetaxel injection,22.0,17.0
17,2020-10-15 03:30:00,docetaxel injection,22.0,18.0
18,2020-10-15 04:30:00,docetaxel injection,24.875,20.75
19,2020-10-15 05:30:00,docetaxel injection,22.0,17.0
20,2020-10-15 06:30:00,docetaxel injection,23.0,18.0
21,2020-10-15 07:30:00,docetaxel injection,24.875,20.75
22,2020-10-15 08:30:00,docetaxel injection,24.875,20.75
23,2020-10-15 09:30:00,docetaxel injection,27.0,23.0
24,2020-10-15 10:30:00,ketamine hydrochloride,9.0,22.0
25,2020-10-15 11:30:00,ketamine hydrochloride,9.0,21.0
26,2020-10-15 12:30:00,ketamine hydrochloride,11.0,20.0
27,2020-10-15 01:30:00,ketamine hydrochloride,8.0,24.0
28,2020-10-15 02:30:00,ketamine hydrochloride,9.333333333333334,23.555555555555557
29,2020-10-15 03:30:00,ketamine hydrochloride,9.333333333333334,23.555555555555557
30,2020-10-15 04:30:00,ketamine hydrochloride,7.0,27.0
31,2020-10-15 05:30:00,ketamine hydrochloride,9.333333333333334,23.555555555555557
32,2020-10-15 06:30:00,ketamine hydrochloride,9.0,26.0
33,2020-10-15 07:30:00,ketamine hydrochloride,10.0,25.0
34,2020-10-15 08:30:00,ketamine hydrochloride,11.0,24.0
35,2020-10-15 09:30:00,ketamine hydrochloride,10.0,23.0
36,2020-10-16 10:30:00,diltiazem hydrochloride,24.0,40.0
37,2020-10-16 11:30:00,diltiazem hydrochloride,22.545454545454547,37.45454545454545
38,2020-10-16 12:30:00,diltiazem hydrochloride,27.0,42.0
39,2020-10-16 01:30:00,diltiazem hydrochloride,18.0,34.0
40,2020-10-16 02:30:00,diltiazem hydrochloride,19.0,35.0
41,2020-10-16 03:30:00,diltiazem hydrochloride,20.0,36.0
42,2020-10-16 04:30:00,diltiazem hydrochloride,21.0,36.0
43,2020-10-16 05:30:00,diltiazem hydrochloride,22.0,37.0
44,2020-10-16 06:30:00,diltiazem hydrochloride,23.0,38.0
45,2020-10-16 07:30:00,diltiazem hydrochloride,24.0,37.0
46,2020-10-16 08:30:00,diltiazem hydrochloride,25.0,38.0
47,2020-10-16 09:30:00,diltiazem hydrochloride,25.0,39.0
48,2020-10-16 10:30:00,docetaxel injection,28.0,56.0
49,2020-10-16 11:30:00,docetaxel injection,29.0,57.0
50,2020-10-16 12:30:00,docetaxel injection,30.0,58.0
51,2020-10-16 01:30:00,docetaxel injection,23.0,46.0
52,2020-10-16 02:30:00,docetaxel injection,24.0,47.0
53,2020-10-16 03:30:00,docetaxel injection,27.0,51.45454545454545
54,2020-10-16 04:30:00,docetaxel injection,25.0,48.0
55,2020-10-16 05:30:00,docetaxel injection,26.0,48.0
56,2020-10-16 06:30:00,docetaxel injection,27.0,49.0
57,2020-10-16 07:30:00,docetaxel injection,28.0,50.0
58,2020-10-16 08:30:00,docetaxel injection,29.0,52.0
59,2020-10-16 09:30:00,docetaxel injection,28.0,55.0
60,2020-10-16 10:30:00,ketamine hydrochloride,16.0,13.0
61,2020-10-16 11:30:00,ketamine hydrochloride,17.0,14.0
62,2020-10-16 12:30:00,ketamine hydrochloride,18.0,15.0
63,2020-10-16 01:30:00,ketamine hydrochloride,12.0,8.0
64,2020-10-16 02:30:00,ketamine hydrochloride,12.0,9.0
65,2020-10-16 03:30:00,ketamine hydrochloride,13.0,10.0
66,2020-10-16 04:30:00,ketamine hydrochloride,14.8,11.5
67,2020-10-16 05:30:00,ketamine hydrochloride,15.0,11.0
68,2020-10-16 06:30:00,ketamine hydrochloride,15.0,12.0
69,2020-10-16 07:30:00,ketamine hydrochloride,15.0,12.0
70,2020-10-16 08:30:00,ketamine hydrochloride,15.0,11.0
71,2020-10-16 09:30:00,ketamine hydrochloride,14.8,11.5
72,2020-10-17 10:30:00,diltiazem hydrochloride,11.0,14.0
73,2020-10-17 11:30:00,diltiazem hydrochloride,13.0,11.0
74,2020-10-17 12:30:00,diltiazem hydrochloride,14.0,10.0
75,2020-10-17 01:30:00,diltiazem hydrochloride,3.0,20.0
76,2020-10-17 02:30:00,diltiazem hydrochloride,4.0,19.0
77,2020-10-17 03:30:00,diltiazem hydrochloride,4.0,19.0
78,2020-10-17 04:30:00,diltiazem hydrochloride,4.0,18.0
79,2020-10-17 05:30:00,diltiazem hydrochloride,6.0,17.0
80,2020-10-17 06:30:00,diltiazem hydrochloride,8.0,16.0
81,2020-10-17 07:30:00,diltiazem hydrochloride,9.0,15.0
82,2020-10-17 08:30:00,diltiazem hydrochloride,7.7272727272727275,15.636363636363637
83,2020-10-17 09:30:00,diltiazem hydrochloride,9.0,13.0
84,2020-10-17 10:30:00,docetaxel injection,28.0,21.0
85,2020-10-17 11:30:00,docetaxel injection,29.0,22.0
86,2020-10-17 12:30:00,docetaxel injection,28.0,23.0
87,2020-10-17 01:30:00,docetaxel injection,20.0,12.0
88,2020-10-17 02:30:00,docetaxel injection,22.0,13.0
89,2020-10-17 03:30:00,docetaxel injection,22.0,14.0
90,2020-10-17 04:30:00,docetaxel injection,22.0,15.0
91,2020-10-17 05:30:00,docetaxel injection,22.0,16.0
92,2020-10-17 06:30:00,docetaxel injection,23.0,17.0
93,2020-10-17 07:30:00,docetaxel injection,25.0,18.0
94,2020-10-17 08:30:00,docetaxel injection,26.0,19.0
95,2020-10-17 09:30:00,docetaxel injection,27.0,20.0
96,2020-10-17 10:30:00,ketamine hydrochloride,13.0,22.0
97,2020-10-17 11:30:00,ketamine hydrochloride,14.0,23.0
98,2020-10-17 12:30:00,ketamine hydrochloride,15.0,24.0
99,2020-10-17 01:30:00,ketamine hydrochloride,8.0,13.0
100,2020-10-17 02:30:00,ketamine hydrochloride,9.0,14.0
101,2020-10-17 03:30:00,ketamine hydrochloride,10.0,15.0
102,2020-10-17 04:30:00,ketamine hydrochloride,11.0,16.0
103,2020-10-17 05:30:00,ketamine hydrochloride,11.0,17.0
104,2020-10-17 06:30:00,ketamine hydrochloride,12.0,18.0
105,2020-10-17 07:30:00,ketamine hydrochloride,12.0,19.0
